fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Symbol
2019-10-31,USD,263000000,None,None,53000044,65000000,79000000,30000000,51000000,14000000,195000000,-27000000,-31000000,0,29000000,29000000,None,None,None,None,None,0,None,-27000000,None,204000000,-1000000,195000000,KEYS
2019-07-31,USD,274000000,None,None,-53999934,-28000000,53000000,30000000,-53000000,25000000,159000000,-120000000,-37000000,0,61000000,61000000,None,None,None,None,None,0,None,-35000000,None,159000000,-1000000,159000000,KEYS
2019-04-30,USD,221000000,None,None,66000109,111000000,51000000,29000000,84000000,27000000,153000000,-20000000,-21000000,0,29000000,29000000,None,None,None,None,None,0,None,-20000000,None,153000000,-2000000,153000000,KEYS
2019-01-31,USD,240000000,None,None,-67999833,-30000000,76000000,31000000,-56000000,26000000,114000000,-29000000,-33000000,0,40000000,40000000,None,None,None,None,None,0,None,-10000000,None,185000000,7000000,114000000,KEYS
2018-10-31,USD,235000000,38000000,None,94000000,52000000,77000000,34000000,34000000,18000000,-114000000,-17000000,-39000000,0,40000000,40000000,None,None,None,None,None,0,None,-38000000,None,171000000,-6000000,-114000000,KEYS
2018-07-31,USD,38000000,0,None,-67000000,49000000,51000000,40000000,24000000,25000000,121000000,-45000000,-28000000,0,52000000,52000000,None,None,None,None,None,0,None,-23000000,None,-42000000,-7000000,121000000,KEYS
2018-04-30,USD,111000000,39000000,None,99000000,128000000,79000000,34000000,130000000,-2000000,64000000,-22000000,-280000000,0,28000000,28000000,None,None,None,None,None,-40000000,None,-19000000,None,-196000000,-5000000,64000000,KEYS
2018-01-31,USD,171000000,2000000,None,140000000,-79000000,78000000,24000000,-99000000,20000000,94000000,-24000000,6000000,40000000,0,0,None,None,None,None,None,40000000,None,24000000,None,162000000,9000000,94000000,KEYS
2017-10-31,USD,63000000,39000000,None,149000000,41000000,72000000,18000000,25000000,14000000,-38000000,-76000000,-41000000,42000000,0,0,None,None,None,None,None,0,None,0,None,-55000000,-1000000,-68000000,KEYS
2017-07-31,USD,101000000,4000000,None,-18000000,-25000000,80000000,21000000,-4000000,-20000000,-18000000,-4000000,-211000000,None,0,0,None,None,None,None,None,0,None,30000000,None,-110000000,4000000,-18000000,KEYS
2017-04-30,USD,49000000,2000000,None,39000000,31000000,41000000,17000000,30000000,0,49000000,-1634000000,1669000000,None,0,0,None,None,None,None,None,1069000000,None,446000000,None,87000000,3000000,49000000,KEYS
2017-01-31,USD,115000000,2000000,None,-63000000,-30000000,32000000,16000000,-40000000,10000000,109000000,-8000000,8000000,None,0,0,None,None,None,None,None,0,None,19000000,None,113000000,-2000000,109000000,KEYS
2021-09-30,USD,782000000,None,None,None,None,194000000,235000000,None,None,479000000,-249000000,-547000000,-106000000,62000000,62000000,None,385000000,385000000,None,None,0,None,-37000000,None,479000000,None,469000000,KMB
2021-06-30,USD,565000000,None,None,None,None,189000000,201000000,None,None,410000000,-242000000,-342000000,216000000,162000000,162000000,None,389000000,389000000,None,None,0,None,-145000000,None,410000000,None,404000000,KMB
2021-03-31,USD,321000000,None,None,None,None,189000000,298000000,None,None,594000000,-245000000,-52000000,744000000,169000000,169000000,None,359000000,359000000,None,None,5000000,None,-159000000,None,24000000,None,584000000,KMB
2020-12-31,USD,887000000,None,None,None,None,190000000,323000000,None,-96000000,546000000,-1328000000,-795000000,-64000000,251000000,251000000,None,364000000,364000000,None,None,3000000,None,-246000000,None,-1232000000,None,539000000,KMB
2020-09-30,USD,559000000,None,None,None,None,192000000,258000000,None,-96000000,483000000,-287000000,-205000000,170000000,186000000,186000000,None,365000000,365000000,None,None,601000000,None,-109000000,None,483000000,None,472000000,KMB
2020-06-30,USD,1579000000,None,None,None,None,201000000,284000000,None,-96000000,692000000,-331000000,-787000000,-385000000,49000000,49000000,None,365000000,365000000,None,None,0,None,-22000000,None,692000000,None,681000000,KMB
2020-03-31,USD,704000000,None,None,None,None,213000000,352000000,None,-96000000,675000000,-359000000,220000000,-282000000,214000000,214000000,None,357000000,357000000,None,None,1241000000,None,-106000000,None,565000000,None,660000000,KMB
2019-12-31,USD,924000000,None,None,None,None,217000000,342000000,None,24000000,556000000,-275000000,-632000000,-21000000,256000000,256000000,None,354000000,354000000,None,None,6000000,None,-239000000,None,26000000,9000000,547000000,KMB
2019-09-30,USD,886000000,None,None,None,None,230000000,298000000,None,24000000,680000000,-245000000,-747000000,-219000000,214000000,214000000,None,354000000,354000000,None,None,4000000,None,-163000000,None,-118000000,-12000000,671000000,KMB
2019-06-30,USD,609000000,None,None,None,None,236000000,253000000,None,24000000,495000000,-198000000,-371000000,-308000000,166000000,166000000,None,355000000,355000000,None,None,696000000,None,-32000000,None,43000000,3000000,485000000,KMB
2019-03-31,USD,317000000,None,None,None,None,234000000,316000000,None,24000000,466000000,-324000000,-42000000,851000000,164000000,164000000,None,345000000,345000000,None,None,0,None,-138000000,None,-48000000,1000000,454000000,KMB
2018-12-31,USD,949000000,None,None,None,None,230000000,311000000,None,-127000000,421000000,-270000000,-632000000,-487000000,204000000,204000000,None,347000000,347000000,None,None,507000000,None,-192000000,None,45000000,-2000000,411000000,KMB
2018-09-30,USD,692000000,None,None,None,None,217000000,219000000,None,-127000000,462000000,-220000000,-453000000,349000000,176000000,176000000,None,348000000,348000000,None,None,0,None,-148000000,None,10000000,-9000000,451000000,KMB
2018-06-30,USD,787000000,None,None,None,None,224000000,158000000,None,-127000000,465000000,-156000000,-747000000,-145000000,223000000,223000000,None,350000000,350000000,None,None,0,None,-215000000,None,-142000000,-26000000,455000000,KMB
2018-03-31,USD,542000000,None,None,None,None,211000000,189000000,None,-127000000,97000000,-256000000,-283000000,249000000,197000000,197000000,None,341000000,341000000,None,None,0,None,-183000000,None,10000000,7000000,93000000,KMB
2017-12-31,USD,863000000,None,None,None,None,184000000,190000000,None,-33000000,625000000,-174000000,-741000000,249000000,107000000,107000000,None,342000000,342000000,None,None,0,None,-100000000,None,-39000000,13000000,617000000,KMB
2017-09-30,USD,805000000,None,None,None,None,182000000,209000000,None,None,579000000,-290000000,-916000000,-3000000,207000000,207000000,None,343000000,343000000,None,None,593000000,None,-200000000,None,-396000000,5000000,567000000,KMB
2017-06-30,USD,825000000,None,None,None,None,180000000,171000000,None,None,540000000,-209000000,-397000000,-82000000,302000000,302000000,None,345000000,345000000,None,None,344000000,None,-273000000,None,216000000,-3000000,531000000,KMB
2017-03-31,USD,436000000,None,None,None,None,178000000,215000000,None,None,575000000,-178000000,-367000000,196000000,295000000,295000000,None,329000000,329000000,None,None,0,None,-217000000,None,-88000000,21000000,563000000,KMB
2016-12-31,USD,871000000,1024000000,None,None,None,177000000,189000000,None,230000000,518000000,-156000000,-648000000,-71000000,227000000,227000000,None,330000000,330000000,None,None,3000000,None,-217000000,None,39000000,-28000000,505000000,KMB
2021-09-30,USD,123599000,26200000,None,-61156000,-18322000,114238000,0,22771000,None,509204000,-311881000,441691000,0,None,None,None,110864000,110864000,None,None,0,None,77463000,None,509204000,None,507739000,KIM
2021-06-30,USD,145300000,66714000,None,-9800000,-6124000,72573000,0,-534000,None,117118000,38042000,-207132000,0,None,None,None,80053000,80053000,None,None,0,None,1810000,None,117118000,None,116697000,KIM
2021-03-31,USD,148371000,29383000,None,15387000,16343000,74876000,86312000,-18593000,None,141425000,-83924000,-103783000,0,0,0,None,80039000,80039000,None,0,0,None,160000,None,-39336000,None,137942000,KIM
2020-12-31,USD,123971000,60403000,None,-36488000,-27478000,74295000,0,-20616000,None,201799000,-76653000,-79107000,0,0,0,None,73331000,75554000,None,0,0,None,0,None,269441000,None,201234000,KIM
2020-09-30,USD,228495000,37089000,None,43041000,-2017000,71704000,0,-10286000,None,-37429000,-53217000,-51988000,0,0,0,None,49604000,49604000,None,0,0,None,0,None,-37429000,None,-38394000,KIM
2020-06-30,USD,82198000,66119000,None,-6433000,29496000,73559000,5780000,29935000,None,748118000,163150000,-495457000,-675000000,0,0,None,127461000,127461000,None,0,0,None,0,None,748118000,None,747893000,KIM
2020-03-31,USD,155249000,25383000,None,5456000,26313000,69397000,16578000,1526000,None,90389000,-66553000,239153000,475000000,0,0,None,127255000,127255000,None,0,0,None,981000,None,327849000,None,90100000,KIM
2019-12-31,USD,101169000,61651000,None,-33126000,23451000,68439000,33232000,27252000,None,110043000,40886000,-159418000,0,0,0,None,127326000,130285000,None,0,7276000,None,200661000,None,296130000,None,109419000,KIM
2019-09-30,USD,168930000,24603000,None,37897000,35763000,68874000,28113000,9067000,None,85453000,-60788000,-80823000,65000000,0,0,None,136054000,136054000,None,0,351603000,None,1540000,None,85453000,None,83990000,KIM
2019-06-30,USD,158271000,59595000,None,-11219000,4930000,69005000,-20135000,-1281000,None,101387000,-84977000,-102976000,35000000,0,0,None,132705000,132705000,None,0,3849000,None,1130000,None,101387000,None,101027000,KIM
2019-03-31,USD,155258000,27026000,None,2837000,25421000,71561000,77631000,-878000,None,116678000,-15542000,-139624000,0,0,0,None,132521000,132521000,None,0,3300000,None,681000,None,92000,None,116169000,KIM
2018-12-31,USD,121605000,63748000,None,-35247000,5233000,74266000,0,1088000,None,87947000,22890000,-147300000,-30000000,0,0,None,129680000,132524000,None,0,20606000,None,104000,None,284201000,None,88161000,KIM
2018-09-30,USD,164345000,44397000,None,31211000,26760000,74972000,0,2989000,None,100725000,2604000,-326140000,130000000,0,0,None,132521000,132521000,None,0,0,None,457000,None,100725000,None,100158000,KIM
2018-06-30,USD,159707000,67890000,None,-15510000,6913000,79760000,0,-4082000,None,165809000,148725000,-221168000,0,50850000,50850000,None,134470000,134470000,None,0,0,None,-50850000,None,165809000,None,165386000,KIM
2018-03-31,USD,192279000,29084000,None,10371000,7085000,81382000,4592000,-5224000,None,143982000,79426000,-291905000,0,24276000,24276000,None,130241000,130241000,None,0,0,None,8868000,None,-20200000,None,144090000,KIM
2017-12-31,USD,120365000,82966000,7795000,-33467000,10495000,85024000,0,-1113000,None,84566000,-16008000,-22432000,-17101000,0,0,None,122611000,124990000,None,0,0,None,222196000,None,81925000,None,84896000,KIM
2017-09-30,USD,193782000,26659000,6241000,48390000,17596000,88443000,0,460000,None,122216000,-130829000,-49464000,-450000000,0,0,None,128389000,128389000,None,0,1056000000,None,217777000,None,13489000,None,121030000,KIM
2017-06-30,USD,142982000,75579000,None,-18391000,4474000,95270000,0,1360000,None,154674000,-82068000,-85269000,465000000,0,0,None,126478000,126478000,None,0,0,None,412000,None,-24355000,None,143416000,KIM
2017-03-31,USD,157052000,27169000,None,7885000,15334000,92074000,10010000,-5769000,None,78215000,-65375000,-66709000,-15042000,0,0,None,126315000,126315000,None,0,400000000,None,561000,None,24968000,None,76733000,KIM
2016-12-31,USD,147570000,67423000,27834000,-31817000,-8467000,90884000,0,-18478000,None,80686000,-82860000,-92769000,-200002000,0,0,None,117738000,119933000,None,0,750000000,None,586000,None,-28059000,None,78273000,KIM
2021-09-30,USD,1129000000,506000000,None,24000000,86000000,526000000,349000000,-11000000,38000000,511000000,-1800000000,-1019000000,None,0,0,None,622000000,616000000,None,None,None,None,0,None,1037000000,None,495000000,KMI
2021-06-30,USD,1438000000,218000000,None,331000000,47000000,528000000,278000000,8000000,4000000,-740000000,-241000000,-651000000,None,0,0,None,621000000,615000000,None,None,None,None,0,None,-212000000,None,-757000000,KMI
2021-03-31,USD,1873000000,589000000,None,-84000000,165000000,541000000,267000000,122000000,47000000,1425000000,130000000,-1789000000,0,0,0,None,599000000,597000000,None,0,0,None,0,None,214000000,None,1409000000,KMI
2020-12-31,USD,1268000000,352000000,None,175000000,140000000,528000000,356000000,150000000,25000000,623000000,-135000000,-625000000,0,0,0,None,602000000,598000000,None,0,0,None,0,None,508000000,None,607000000,KMI
2020-09-30,USD,1050000000,549000000,None,-62000000,118000000,539000000,388000000,97000000,-13000000,472000000,-535000000,-364000000,0,0,0,None,602000000,598000000,None,0,0,None,0,None,1011000000,None,455000000,KMI
2020-06-30,USD,1339000000,230000000,None,198000000,-80000000,532000000,523000000,-113000000,31000000,-624000000,-576000000,-1162000000,0,0,0,None,601000000,597000000,None,0,0,None,0,None,-92000000,None,-637000000,KMI
2020-03-31,USD,893000000,661000000,None,-587000000,-331000000,565000000,440000000,-222000000,-59000000,-291000000,335000000,-487000000,0,50000000,50000000,None,572000000,569000000,None,0,0,None,-50000000,None,741000000,None,-306000000,KMI
2019-12-31,USD,1627000000,322000000,None,275000000,91000000,661000000,551000000,121000000,-32000000,627000000,896000000,-2585000000,0,0,0,None,0,570000000,0,0,0,None,0,None,-62000000,None,610000000,KMI
2019-09-30,USD,1023000000,676000000,None,-154000000,21000000,578000000,541000000,53000000,-45000000,517000000,-815000000,-187000000,0,0,0,None,0,569000000,0,0,0,None,0,None,1095000000,None,506000000,KMI
2019-06-30,USD,1463000000,354000000,None,203000000,-45000000,579000000,624000000,-86000000,21000000,528000000,-981000000,-505000000,0,0,0,None,0,569000000,0,0,0,None,0,None,1107000000,None,518000000,KMI
2019-03-31,USD,635000000,690000000,None,-776000000,-269000000,593000000,554000000,-193000000,52000000,567000000,-814000000,-2908000000,0,2000000,2000000,None,0,455000000,0,0,0,None,-2000000,None,-3087000000,None,556000000,KMI
2018-12-31,USD,1668000000,286000000,None,351000000,1000000,587000000,698000000,-20000000,23000000,502000000,-754000000,-971000000,0,23000000,23000000,None,-1163000000,455000000,39000000,0,0,None,-23000000,None,-57000000,None,494000000,KMI
2018-09-30,USD,907000000,639000000,None,177000000,14000000,569000000,733000000,49000000,-32000000,1005000000,2118000000,157000000,0,0,0,None,444000000,444000000,39000000,0,0,None,0,None,1574000000,None,732000000,KMI
2018-06-30,USD,1494000000,297000000,None,256000000,14000000,571000000,766000000,10000000,-21000000,-130000000,-707000000,-801000000,0,0,0,None,442000000,442000000,39000000,0,0,None,0,None,441000000,None,-141000000,KMI
2018-03-31,USD,974000000,657000000,None,-471000000,-115000000,570000000,707000000,-126000000,15000000,542000000,-725000000,-209000000,0,250000000,250000000,None,277000000,277000000,39000000,0,0,None,-250000000,None,40000000,None,524000000,KMI
2017-12-31,USD,1294000000,288000000,None,427000000,416000000,564000000,957000000,389000000,4000000,-992000000,-895000000,-687000000,0,0,0,None,280000000,319000000,39000000,0,0,None,-250000000,None,-275000000,-6000000,-1006000000,KMI
2017-09-30,USD,1141000000,571000000,None,-44000000,-138000000,562000000,895000000,-133000000,-7000000,387000000,-898000000,-159000000,0,0,0,None,280000000,319000000,39000000,0,0,None,0,None,87000000,18000000,373000000,KMI
2017-06-30,USD,1280000000,352000000,None,147000000,-12000000,577000000,672000000,-80000000,58000000,383000000,-960000000,-297000000,0,0,0,None,280000000,319000000,39000000,0,0,None,0,None,56000000,9000000,376000000,KMI
2017-03-31,USD,886000000,643000000,None,-346000000,-80000000,558000000,664000000,-105000000,35000000,445000000,-650000000,-538000000,0,0,0,None,280000000,319000000,39000000,0,0,None,0,None,-288000000,1000000,440000000,KMI
2016-12-31,USD,1255000000,452000000,None,190000000,361000000,557000000,773000000,281000000,19000000,215000000,-578000000,-305000000,0,0,0,None,279000000,318000000,39000000,0,0,None,0,None,327000000,-2000000,209000000,KMI
2021-09-30,USD,863797000,106734000,None,400838000,295836000,84824000,68955000,158495000,138189000,1068485000,-175306000,-609030000,21673000,399677000,399677000,None,162821000,162821000,None,0,300000000,None,-399677000,None,79461000,None,1068417000,KLAC
2021-06-30,USD,465624000,-168046000,None,47964000,242638000,84647000,55376000,103488000,123725000,633058000,-93604000,-392845000,73382000,299777000,299777000,None,139253000,139267000,None,59742000,0,None,-240035000,None,1153230000,None,632978000,KLAC
2021-03-31,USD,646150000,150162000,None,2301000,43154000,84365000,61183000,-17198000,34169000,567170000,-176588000,-439453000,19458000,273441000,273441000,None,139300000,139338000,None,0,0,None,-273441000,None,447328000,None,567496000,KLAC
2020-12-31,USD,561081000,106572000,None,271471000,269535000,84257000,59144000,190306000,26215000,456983000,-95892000,-261377000,21709000,177492000,177492000,None,139600000,139584000,None,26356000,0,None,-151136000,None,339092000,None,457251000,KLAC
2020-09-30,USD,512171000,103626000,None,4901000,233000,80066000,55925000,-78530000,85991000,420142000,-134320000,-404206000,19130000,187897000,187897000,None,141200000,141164000,None,0,0,None,-187897000,None,-26355000,None,420567000,KLAC
2020-06-30,USD,452846000,-116075000,None,28775000,35486000,78937000,41790000,-11493000,56609000,410315000,-105821000,-61355000,11858000,0,0,None,133960000,132762000,None,50349000,200000000,None,100698000,None,839749000,None,411253000,KLAC
2020-03-31,USD,442028000,135772000,None,-38855000,-32019000,81990000,43445000,-73103000,11640000,78009000,1788000,-432637000,26572000,315995000,315995000,None,133300000,133327000,None,672000,None,None,-315315000,None,104581000,None,78452000,KLAC
2019-12-31,USD,387731000,113073000,None,22941000,111370000,88534000,34874000,126682000,1477000,380305000,-8148000,-432030000,10677000,284593000,284593000,None,134700000,134696000,None,24499000,None,None,24492000,None,415474000,None,380555000,KLAC
2019-09-30,USD,496245000,54583000,None,101900000,94288000,98588000,32566000,75214000,5091000,346396000,-146693000,-373613000,9929000,228496000,228496000,None,121600000,121636000,None,114000,None,None,-228382000,None,-24061000,None,346525000,KLAC
2019-06-30,USD,325461000,-113157000,None,85980000,83590000,127886000,55846000,32092000,-13179000,217328000,30439000,-432146000,35902000,344986000,344986000,None,121363000,121363000,None,44272000,None,None,-256442000,None,665650000,None,217845000,KLAC
2019-03-31,USD,163594000,55741000,None,-29909000,373104000,73445000,25956000,299941000,1893000,192645000,-1734903000,869285000,40303000,200029000,200029000,None,113581000,113581000,None,0,None,None,-200029000,None,232948000,None,192728000,KLAC
2018-12-31,USD,282172000,138990000,None,-83785000,43944000,15806000,26366000,55870000,15109000,369100000,208611000,-347452000,8339000,250213000,250213000,None,114562000,114562000,None,20556000,None,None,20556000,None,144468000,1137000,369100000,KLAC
2018-09-30,USD,381405000,25499000,None,-14086000,39569000,16087000,22330000,-33668000,55738000,395944000,314871000,-449692000,10892000,299974000,299974000,None,122757000,122757000,None,0,None,None,-299974000,None,245132000,-1452000,395944000,KLAC
2018-06-30,USD,373513000,53210000,None,-3729000,125665000,14989000,22842000,-2095000,74684000,348767000,126775000,-341386000,-60000,38091000,38091000,None,117035000,117035000,None,40873000,None,None,43655000,None,148700000,-10202000,348767000,KLAC
2018-03-31,USD,352607000,2330000,None,43604000,39682000,16283000,14994000,-90906000,60487000,306881000,25894000,-202288000,0,84724000,84724000,None,92128000,92128000,None,-8000,None,None,-84732000,None,182288000,6075000,306881000,KLAC
2017-12-31,USD,129371000,55693000,None,207805000,13615000,16130000,13369000,73877000,24240000,-134319000,25955000,-406297000,0,40427000,40427000,None,92575000,92575000,None,0,None,None,20579000,None,-247303000,3668000,-134300000,KLAC
2017-09-30,USD,373629000,3005000,None,152044000,118050000,15282000,15756000,95621000,20194000,280936000,112994000,-320132000,5571000,39927000,39927000,None,100327000,100327000,None,0,None,None,-39927000,None,167646000,1155000,280936000,KLAC
2017-06-30,USD,462637000,56865000,None,47126000,-135563000,14324000,10668000,-167034000,32580000,256162000,-154359000,-112974000,28376000,25002000,25002000,None,84637000,84637000,None,21665000,None,None,18327000,None,197244000,1940000,256162000,KLAC
2017-03-31,USD,224838000,0,None,60463000,111548000,14198000,9414000,64509000,28288000,253562000,-98371000,-112228000,7256000,0,0,None,85514000,85514000,None,0,None,None,0,None,18774000,4535000,253562000,KLAC
2016-12-31,USD,222413000,166000,None,-11226000,39569000,14892000,8629000,24386000,-13132000,238251000,-140333000,-100914000,9740000,0,0,None,84529000,84529000,None,0,None,None,23694000,None,-29292000,-10458000,238251000,KLAC
2021-09-30,USD,419000000,7000000,None,-612000000,36000000,228000000,224000000,-30000000,37000000,736000000,-283000000,-1778000000,0,None,None,None,490000000,490000000,None,None,0,None,0,None,736000000,None,733000000,KHC
2021-06-30,USD,1219000000,5000000,None,847000000,43000000,227000000,204000000,-96000000,126000000,-25000000,3243000000,-2912000000,0,None,None,None,490000000,490000000,None,None,0,None,0,None,-25000000,None,-27000000,KHC
2021-03-31,USD,810000000,9000000,None,-241000000,189000000,222000000,227000000,34000000,101000000,568000000,-216000000,-1643000000,0,None,None,None,489000000,489000000,None,None,0,None,0,None,-1049000000,None,563000000,KHC
2020-12-31,USD,1603000000,1491000000,None,149000000,-230000000,247000000,199000000,20000000,-189000000,1034000000,-160000000,-822000000,0,None,None,None,491000000,491000000,None,None,0,None,0,None,1034000000,None,1032000000,KHC
2020-09-30,USD,1110000000,5000000,None,-36000000,82000000,232000000,139000000,-54000000,258000000,598000000,-125000000,-1072000000,0,None,None,None,490000000,490000000,None,None,0,None,None,None,598000000,None,597000000,KHC
2020-06-30,USD,2004000000,6000000,None,541000000,-403000000,247000000,127000000,-363000000,-34000000,-1652000000,-115000000,-4542000000,-4000000000,None,None,None,489000000,489000000,None,None,0,None,None,None,-1652000000,None,-1651000000,KHC
2020-03-31,USD,212000000,9000000,None,39000000,797000000,243000000,131000000,423000000,231000000,381000000,-122000000,3105000000,4000000000,None,None,None,488000000,488000000,None,None,None,None,0,None,3195000000,None,378000000,KHC
2019-12-31,USD,1562000000,2340000000,None,120000000,-487000000,257000000,187000000,-2000000,-360000000,183000000,400000000,-2032000000,0,None,None,None,489000000,489000000,None,None,0,None,0,None,175000000,None,182000000,KHC
2019-09-30,USD,665000000,50000000,None,5000000,168000000,243000000,133000000,-63000000,153000000,898000000,1129000000,-904000000,0,None,None,None,488000000,488000000,None,None,2949000000,None,0,None,841000000,None,899000000,KHC
2019-06-30,USD,1021000000,0,None,-126000000,46000000,255000000,199000000,41000000,-4000000,448000000,-195000000,-473000000,0,None,None,None,488000000,488000000,None,None,0,None,0,None,448000000,None,449000000,KHC
2019-03-31,USD,304000000,13000000,None,-147000000,358000000,239000000,249000000,-116000000,488000000,404000000,177000000,-504000000,0,None,None,None,488000000,488000000,None,None,None,None,0,None,-23000000,None,405000000,KHC
2018-12-31,USD,1696000000,1896000000,None,386000000,-245000000,271000000,232000000,126000000,-394000000,-12628000000,-197000000,-1726000000,-964000000,None,None,None,762000000,762000000,0,None,0,None,0,None,-12628000000,None,-12568000000,KHC
2018-09-30,USD,662000000,3000000,None,-51000000,415000000,250000000,156000000,153000000,217000000,618000000,-94000000,-2528000000,960000000,None,None,None,762000000,762000000,0,None,0,None,0,None,628000000,None,619000000,KHC
2018-06-30,USD,-192000000,37000000,None,-38000000,1492000000,235000000,215000000,1289000000,116000000,753000000,575000000,1262000000,-943000000,None,None,None,762000000,762000000,0,None,2990000000,None,0,None,755000000,None,754000000,KHC
2018-03-31,USD,408000000,5000000,None,317000000,1015000000,227000000,223000000,712000000,312000000,1003000000,4000000,-371000000,518000000,None,None,None,897000000,897000000,0,None,0,None,0,None,41000000,None,1003000000,KHC
2017-12-31,USD,486000000,3819000000,None,573000000,169000000,242000000,261000000,568000000,-331000000,7982000000,455000000,-735000000,8000000,None,None,None,727000000,727000000,0,None,0,None,0,None,7996000000,None,7989000000,KHC
2017-09-30,USD,193000000,157000000,None,-343000000,628000000,272000000,266000000,463000000,149000000,912000000,299000000,-475000000,-650000000,None,None,None,727000000,727000000,0,None,1492000000,None,0,None,943000000,None,913000000,KHC
2017-06-30,USD,437000000,6000000,None,-470000000,551000000,255000000,322000000,558000000,-57000000,1157000000,289000000,-2506000000,180000000,None,None,None,698000000,698000000,0,None,2000000,None,0,None,1160000000,None,1156000000,KHC
2017-03-31,USD,-615000000,11000000,None,-208000000,1599000000,262000000,368000000,1040000000,475000000,881000000,134000000,-505000000,256000000,None,None,None,736000000,736000000,0,None,2000000,None,0,None,891000000,None,883000000,KHC
2016-12-31,USD,1632000000,2807000000,None,716000000,-1890000000,327000000,411000000,-1523000000,-351000000,944000000,368000000,-1596000000,1000000,None,None,None,1461000000,1461000000,0,None,0,None,0,None,284000000,-120000000,944000000,KHC
2021-11-06,USD,1668000000,None,None,None,None,659000000,689000000,23000000,None,485000000,-675000000,-930000000,0,298000000,0,None,None,159000000,None,33000000,0,None,0,None,1144000000,None,483000000,KR
2021-08-14,USD,867000000,180000000,None,-42000000,-223000000,647000000,499000000,71000000,-172000000,469000000,-431000000,-520000000,0,349000000,349000000,None,136000000,136000000,None,54000000,0,None,-295000000,None,1116000000,None,467000000,KR
2021-05-22,USD,2256000000,185000000,None,-382000000,-698000000,861000000,820000000,-14000000,-205000000,143000000,-853000000,-781000000,0,402000000,402000000,None,138000000,138000000,None,31000000,0,None,-371000000,None,622000000,None,140000000,KR
2021-01-30,USD,918000000,984000000,None,636000000,-193000000,674000000,803000000,132000000,-478000000,-76000000,-766000000,-645000000,0,335000000,0,None,139000000,139000000,None,29000000,0,None,0,None,678000000,None,-77000000,KR
2020-11-07,USD,492000000,101000000,None,48000000,1393000000,631000000,719000000,75000000,1156000000,632000000,-700000000,-432000000,0,320000000,320000000,None,141000000,141000000,None,11000000,33000000,None,-309000000,None,1287000000,None,631000000,KR
2020-08-15,USD,1160000000,185000000,None,-174000000,412000000,617000000,645000000,-27000000,71000000,820000000,-659000000,-407000000,0,247000000,247000000,None,126000000,126000000,None,30000000,0,None,-217000000,None,820000000,None,819000000,KR
2020-05-23,USD,4245000000,188000000,None,1226000000,-424000000,825000000,698000000,-90000000,-756000000,1212000000,-689000000,-1229000000,-1150000000,422000000,422000000,None,128000000,128000000,None,57000000,504000000,None,-365000000,None,2327000000,None,1212000000,KR
2020-02-01,USD,616000000,1106000000,None,-460000000,-165000000,655000000,765000000,129000000,-285000000,319000000,-787000000,25000000,585000000,431000000,431000000,None,130000000,130000000,None,23000000,752000000,None,-408000000,None,319000000,None,327000000,KR
2019-11-09,USD,771000000,-400000000,None,683000000,966000000,624000000,782000000,-49000000,910000000,143000000,-785000000,-70000000,565000000,11000000,11000000,None,130000000,130000000,None,14000000,8000000,None,3000000,None,771000000,None,263000000,KR
2019-08-17,USD,1009000000,692000000,None,-130000000,-206000000,591000000,680000000,-11000000,-150000000,287000000,-575000000,-214000000,-100000000,8000000,8000000,None,113000000,113000000,None,6000000,44000000,None,-2000000,None,878000000,None,297000000,KR
2019-05-25,USD,2268000000,115000000,None,409000000,-51000000,779000000,901000000,-33000000,-124000000,763000000,-464000000,-1824000000,-700000000,15000000,15000000,None,113000000,113000000,None,12000000,9000000,None,-3000000,None,-20000000,None,772000000,KR
2019-02-02,USD,431000000,190000000,None,-277000000,-58000000,581000000,710000000,113000000,-247000000,251000000,-556000000,125000000,165000000,14000000,14000000,None,113000000,113000000,None,10000000,1203000000,None,-4000000,None,251000000,None,259000000,KR
2018-11-10,USD,473000000,112000000,None,504000000,1027000000,570000000,770000000,22000000,853000000,308000000,-758000000,353000000,460000000,17000000,17000000,None,113000000,113000000,None,15000000,17000000,None,-2000000,None,878000000,None,317000000,KR
2018-08-18,USD,892000000,188000000,None,-255000000,-168000000,574000000,729000000,-50000000,-118000000,501000000,-1221000000,-1000000,174000000,170000000,170000000,None,101000000,101000000,None,30000000,6000000,None,-140000000,None,1075000000,None,508000000,KR
